CATEGORIA;NOME_CURSO;NOME_DISCIPLINA;SERIE;MODALIDADE;TIPO
1;Administração;Administração da Produção e Operações;6;SEMI;NR
1;Administração;Administração da Produção e Operações;5;WEB;NR
1;Administração;Administração da Produção e Operações;5;SEMI;NR
1;Administração;Administração da Produção e Operações;6;SEMI;NR
1;Administração;Administração da Produção e Operações;6;WEB;NR
1;Administração;Administração de Materiais e Logístca;8;SEMI;NR
1;Administração;Administração de Materiais e Logística;7;SEMI;NR
1;Administração;Administração de Materiais e Logística;7;WEB;NR
1;Administração;Administração de Materiais e Logística;8;SEMI;NR
1;Administração;Administração de Materiais e Logística;8;WEB;NR
1;Administração;Administração de Micro e Pequenas Empresas;6;WEB;NR
1;Administração;Administração de Micro e Pequenas Empresas;6;SEMI;NR
1;Administração;Administração de Micro e Pequenas Empresas;7;SEMI;NR
1;Administração;Administração de Micro e Pequenas Empresas;7;WEB;NR
1;Administração;Administração de Recursos Humanos;5;SEMI;NR
1;Administração;Administração de Recursos Humanos;5;WEB;NR
1;Administração;Administração de Recursos Humanos;6;SEMI;NR
1;Administração;Administração de Recursos Humanos;6;WEB;NR
1;Administração;Administração Financeira e Orçamentária;5;SEMI;NR
1;Administração;Administração Financeira e Orçamentária;5;WEB;NR
1;Administração;Administração Financeira e Orçamentária;6;SEMI;NR
1;Administração;Administração Financeira e Orçamentária;6;WEB;NR
1;Administração;Administração Mercadológica;6;SEMI;NR
1;Administração;Administração Mercadológica;6;WEB;NR
1;Administração;Administração Mercadológica;7;SEMI;NR
1;Administração;Administração Mercadológica;7;WEB;NR
1;Administração;Administração Recursos Humanos;6;SEMI;NR
1;Administração;Análise de Custos;3;SEMI;NR
1;Administração;Análise de Custos;3;WEB;NR
1;Administração;Análise de Custos;4;SEMI;NR
1;Administração;Análise de Custos;4;WEB;NR
1;Administração;Análise de Investimentos;4;SEMI;NR
1;Administração;Análise de Investimentos;4;WEB;NR
1;Administração;Análise de Investimentos;5;SEMI;NR
1;Administração;Análise de Investimentos;5;WEB;NR
1;Administração;Capital de Giro e Análise Financeira;1;SEMI;NR
1;Administração;Capital de Giro e Análise Financeira;1;WEB;NR
1;Administração;Capital de Giro e Análise Financeira;2;WEB;NR
1;Administração;Capital de Giro e Análise Financeira;2;SEMI;NR
1;Administração;Capital de Giro e Análise Financeira;3;SEMI;NR
1;Administração;Ciências Sociais;1;SEMI;NR
1;Administração;Ciências Sociais;1;WEB;NR
1;Administração;Ciências Sociais;2;SEMI;NR
1;Administração;Ciências Sociais;2;WEB;NR
1;Administração;Competências Profissionais;6;SEMI;NR
1;Administração;Competências Profissionais;6;WEB;NR
1;Administração;Competências Profissionais;7;SEMI;NR
1;Administração;Competências Profissionais;7;WEB;NR
1;Administração;Comportamento Organizacional;1;WEB;NR
1;Administração;Comportamento Organizacional;1;SEMI;NR
1;Administração;Comportamento Organizacional;3;WEB;NR
1;Administração;Comportamento Organizacional;3;SEMI;NR
1;Administração;Comportamento Organizacional;4;SEMI;NR
1;Administração;Comportamento Organizacional;8;WEB;NR
1;Administração;Comportamento Organizacional;8;SEMI;NR
1;Administração;Comportamento Organizacional;9;WEB;NR
1;Administração;Comportamento Organizacional;9;SEMI;NR
1;Administração;Contabilidade;1;SEMI;NR
1;Administração;Contabilidade;1;WEB;NR
1;Administração;Contabilidade;2;SEMI;NR
1;Administração;Contabilidade;2;WEB;NR
1;Administração;Contabilidade de Custos;4;WEB;NR
1;Administração;Contabilidade de Custos;4;SEMI;NR
1;Administração;Contabilidade de Custos;5;SEMI;NR
1;Administração;Contabilidade de Custos;5;WEB;NR
1;Administração;Contabilidade Geral;2;SEMI;NR
1;Administração;Contabilidade Geral;2;WEB;NR
1;Administração;Contabilidade Geral;3;SEMI;NR
1;Administração;Contabilidade Geral;3;WEB;NR
1;Administração;Contabilidade Intermediária;3;WEB;NR
1;Administração;Contabilidade Intermediária;3;SEMI;NR
1;Administração;Contabilidade Intermediária;4;SEMI;NR
1;Administração;Contabilidade Intermediária;4;WEB;NR
1;Administração;Desenvolvimento Econômico;4;SEMI;NR
1;Administração;Desenvolvimento Econômico;4;WEB;NR
1;Administração;Desenvolvimento Econômico;5;SEMI;NR
1;Administração;Desenvolvimento Econômico;5;WEB;NR
1;Administração;Desenvolvimento Pessoal e Profissional;1;SEMI;NR
1;Administração;Desenvolvimento Pessoal e Profissional;1;WEB;NR
1;Administração;Desenvolvimento Pessoal e Profissional;8;WEB;NR
